text,label
@RT_com Well done. This kind of information is important to remain secret for the sake of the safety of the hostages!,agreed
"Yeah, that's going to happen! MT @RT_com: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting",agreed
Who buys Kosher? MT @RT_com: BREAKING: Gunman at kosher grocery store threatens to kill hostages if police storm terrorist brothers.,agreed
"RT @FRANCE24 At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/Ty6ffQz7I3",agreed
"“@FRANCE24: At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/A8KPeuiVHR”",agreed
@tonyjdell @Mama4Obama1 @JeffersonObama I'll give you that.,agreed
.@tonyjdell @No_Idteaots @JeffersonObama thank you for making it easy for me to spot you and block you. Bye,disagreed
@Colvinius @LePoint tragedy :( :( #CharlieHebdo,agreed
“@Colvinius: “@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.” http://t.co/DulWZcURCu http://t.co/vbQMAW7MC0”” @hyzaidi,agreed
RIP satire “@Colvinius: “@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; Cabu are dead.” http://t.co/jR6enECfXS http://t.co/h55q9S8vNO””,agreed
@nancysaidboo @Colvinius @LePoint me too.,agreed
@Red4Mira @MartinRJay See my previous tweets. That's what Charlie Hebdo does. Latest cover savages an ANTI-Muslim writer - and Jesus.,agreed
"@Colvinius @MartinRJay  It's not a matter of criticism, it's insulting and demeaning and offensive",disagreed
"@hanibathish @Colvinius @MartinRJay Oh well, as u may have noticed, some ppl disagree with you!",disagreed
"@Reuters 
#StopKillingInnocentPeople
#FreePalestine
#freeBurma
#FreeSyria 
#FreeKashmir
http://t.co/ggBNiIa9fq",agreed
@Reuters The horror continue.,agreed
"“@Reuters: BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source” @jake_max",agreed
"“@Reuters: BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source” Mondo Cane!",agreed
@Reuters incident?,disagreed
@Reuters Can you clarify - are the six hostages and one seriously wounded in addition to the reports of two killed?,disagreed
@Reuters not in anyway justifying the violence but why the intentionally hurting of others believe? It doesn't make sense.,agreed
@JustinGlawe @JesseLaGreca it wasn't the quik stop that got burned down?,disagreed
@JustinGlawe @JesseLaGreca thanks. Now we need a pic of what michael brown was wearing to refute the video.,disagreed
@RT_com Is this the right link?,disagreed
“URGENT: Darren Wilson is the police officer who shot Mike Brown http://t.co/bWq6nDuuWD #Ferguson http://t.co/4DEr4xSn0t” rt@RT_com,agreed
RT @RT_com: URGENT: Darren Wilson is the police officer who shot Mike Brown http://t.co/ag71jPElob #Ferguson http://t.co/5Ss8bHTuDY,agreed
@RT_com Urgent: Fearmonger much?,disagreed
@larryelder @FoolishReporter How the fuck you comparing a whole race too a single occupation of course you are gonna get a tiny % dumbass,disagreed
@larryelder @KLSouth So I guess you are saying it is no big deal for cops to kill unarmed black kids???   WTF.,disagreed
"@larryelder
http://t.co/uKh3BlcQyn",agreed
@larryelder how many of those blacks that killed blacks avoided prosecution?,disagreed
@larryelder @adagioforstring Indeed where?,disagreed
.@PhilSerrin Has that been proven? I haven't heard your news account. Isn't the investigation of account still ongoing? @larryelder,disagreed
"@PhilSerrin ""Jury still out."" Yet, you made a direct inference that was recklessly false in MO. Misrepresentation serves no one. @larryelder",disagreed
"@larryelder @KLSouth I don't believe that was his ""point"" at all.",disagreed
"@PhilSerrin Me thinks you like to emote in suppositions. Truth is, you don't know what happened, but want to speculate. @larryelder",disagreed
@PhilSerrin Uh Sorry. I believe it was his point. Sharpton and Jesse remain silent on Chicago crimes happening daily.  @larryelder,agreed
@edeweysmith he just admitted on national TV that Michael Brown was racially profiled,agreed
"@edeweysmith Yeah...I caught that too. ""VERY SLICK""  Seeing the framing of the lie starting now!",agreed
@edeweysmith We need b careful of jumping 2 conclusions. Waiting to see this videotape.,disagreed
Funny. Unfortunately wrestling a cops gun away would have gotten you shot 50 yrs ago &amp; it will get you shot 50 yrs from now. @TheDailyEdge,disagreed
@TheDailyEdge terrible attempt at humor. Shame on you.,disagreed
"@TheDailyEdge ""Unfortunately ""there is no proof he did that and witnesses who say he didn't go for the gun. Perhaps we should wait for facts",disagreed
@TheDailyEdge @marcylauren   Good one!,agreed
"@ReutersUS @Reuters   whos the man in blk,",disagreed
@ReutersUS http://t.co/Fmb6dDwOEL,agreed
@ReutersUS @PeoplesReport FergusonMO Police Officer is Darren Wilson who shot&amp;killed #MikeBrown. Also a video too of Strong Armed robbery.,agreed
"Unbelieveable @TheRoot: The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast): http://t.co/Kho721jmrZ http://t.co/WPFB3TSf0Q”",agreed
"“@TheRoot: The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast): http://t.co/gHOYZVB8ru http://t.co/M6MvEqM8gW”",agreed
"“@TheRoot: The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast): http://t.co/xSQyio7XC7 http://t.co/igiZCnkWLM” Whoa",agreed
"Henry Davis “@TheRoot: The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast): http://t.co/IC6FyWSw0k http://t.co/V3JFwSeYFW”",agreed
@TheRoot @thedailybeast They killed that young man as an excuse to use martial law.,agreed
"@TheRoot @crudupeudeans @thedailybeast WOW! FANTASTIC ARTICLE! RT &amp; RT! FBI NEEDS TO INVESTIGATE THIS ONE ALSO! NO JUSTICE, NO PEACE!",agreed
@TheRoot @thedailybeast Um... they told just one lie on a specific day?,disagreed
@KeysNKakes @gangGREENE_XVII @TheRoot @thedailybeast #DONTSHOOT #SongForAwareness http://t.co/gpox1Zn1gd,agreed
"RT “@KeysNKakes: @TheRoot: The day #Ferguson cops told a dirty, bloody lie (@thedailybeast): http://t.co/vpWTi2wS4L http://t.co/YotnAuTvLK””",agreed
@MichaelSkolnik The story is true.,agreed
“@MichaelSkolnik: A woman in #Ferguson was shot in head last night and released this selfie. http://t.co/qcXNu5M2Vj” #HUalum,agreed
@MichaelSkolnik as reported by @KMOV @LauraKHettiger; injured in a RANDOM drive-by shooting per Lt. Col w/@STLCPD http://t.co/YcJivhDui8,agreed
#casual #impressive  “@MichaelSkolnik: A woman in #Ferguson was shot in head last night and released this selfie: http://t.co/ki10cz6Jiw”,agreed
@MariaChappelleN which version?,disagreed
"@MichaelSkolnik Shooting related to protesting. Ppl on the street are upset about this. Also, 6mo pregnant woman forced facedown on ground",agreed
@140elect @TrendingBlue Said the typical Libtard.,disagreed
"@JimmyA_Shook1s @140elect u win. 
@sternshow i'm apparently not qualified for hottie of the week anymore. take it back.",disagreed
".@AkaDimiX @140elect B/c that's the obvious lie. Everything else theoretically could've happened. But 6'4, 290 pound man is no ""kid"".",disagreed
@DostoevskyShade @AkaDimiX @140elect It's fine if you don't care about this one black kid. But don't you care about due process?!,disagreed
@DostoevskyShade @AkaDimiX @140elect sorry what now?,disagreed
"@JPantsdotcom @AkaDimiX @140elect I'm sorry ""kid"", I gotz no times for bs.  Peace.",disagreed
@DostoevskyShade @140elect trayvon was 17 when he got killed.  Legally a minor.,agreed
"@AkaDimiX My grandfather enlisted in WWII when he was 17.  That's not a kid, despite the sissification of this nation.",disagreed
"@DostoevskyShade legally speaking , yeah he was.",agreed
@AkaDimiX legally speaking it doesn't matter. the question of reasonable fear is at issue + the krauts were definitely afraid of my grandpa.,disagreed
"@AkaDimiX @140elect I was like, WTF, you could just wring a little kids neck, no need for a gun.  Until we find out the guy is frigging 6'2",disagreed
“@zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson” even OJ lol.,agreed
“@zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson” still waiting....,disagreed
@zellieimani Not a damn one.,disagreed
@jelani9 Makes them look inept as well.,agreed
"@jelani9 SAY IT AGAIN!!!! oh nevermind, I can just RT it ;-)",agreed
@thelittleidiot Thanks for clearing that up. I was really confused about that. ;-),agreed
"@thelittleidiot agreed. Being shot for possibly stealing cigars isn't karma, it's excessive force that doesn't match the crime.",agreed
Hey @thelittleidiot on top of bein selfadmitted idiot : ) Yer also Retarted LOL #Libs + their #Ferguson #WelfarePet Thugs @XposeBlackCrime,disagreed
.@thelittleidiot a 300lbs aggressive young man might get shot if he attacks a cop.,disagreed
"@thelittleidiot Speak to them Moby, tell em!!!",agreed
@TPM @McBlondeLand Awful! The DOJ needs to do thorough investigation of this PD-these problems are systemic. The citizens deserve better!,disagreed
“@TPM: Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/oyGS7QoPWI”,agreed
"@TPM Wow. I thought a Tweep was being sarcastic, but...it really happened that way?!?",disagreed
@USATODAY New police chief?,disagreed
"RT @USATODAY: Name of #Ferguson cop is expected to be released by 9 ET http://t.co/rz6ZADidHG (J.B. Forbes, AP) http://t.co/Eud4XHuxFf”",agreed
@thatjohn what are the implications of this? @RAeSTimR,disagreed
@thatjohn @planefinder why would they say urgence in lieu of mayday which is standard ?,disagreed
@thatjohn is that unusual?,disagreed
@thatjohn @RAeSTimR Is that roughly equivalent to our 'Pan Pan' call it priority I assume?,agreed
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/0RVUOUMD4z”,agreed
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/BS79EGOyEj” flying today and THIS is not what I see :/,disagreed
RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/MBqXY968OZ,agreed
RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/Q46HFawSF1”,agreed
"RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/OzznStuYOu
#jwave #radiko",agreed
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/Gc5H6ZWyNb” 💔,agreed
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/VgscO5lmnw” @CLawtown @pruesiemsgluess,agreed
RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/5gDF9zIXEW,agreed
"“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/bHsin3DQ07”

Oh Jeez, no!!!",agreed
RT: @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/7XowawsXF7,agreed
RT “@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/OJeJSNtgwv”,agreed
#BreakingNews “@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/OYECGiYtfE” #BREAKING #planecrash,agreed
Yikes :( RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/EZ4cgrQxie,agreed
@BBCBreaking omg,agreed
#BBC says 142 passengers &amp; 6 crew @93wibc RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/jA0QYbUXgO,agreed
@Granabanana I do know that!,agreed
"RT @NYCAviation: Accident aircraft looks to be Germanwings (Airline code 4U or GWI) flight 9525, Barcelona to Dusseldorf. #4U9525",agreed
@henkvaness Source of info?,disagreed
@henkvaness where did you hear that?,disagreed
"@tseymat BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie",agreed
@tseymat @euronews condolences to the families! My prayers are with them!,agreed
@BBCBreaking https://t.co/u0P5OaRm4k,agreed
"Debris from #Germanwings crash located in Barcelonette area of the Alps, France's Interior Ministry says http://t.co/teojxJoBMX",agreed
"Debris from #Germanwings crash located in Barcelonette area of the Alps | @BBCBreaking

http://t.co/mgnzKRyk47",agreed
@thatjohn @AirlineReporter at what point during those 8 min did distress call go out?,disagreed
@AJENews @germanwings yes indeed :-(.,agreed
"@ivoirien_com @CBCAlerts Can you lay off the politics right now? We know *nothing* about who did this, what's going on.",disagreed
"@ashleyjmorton @CBCAlerts Right, there is no obvious context.  How insightful of you!",disagreed
"@ivoirien_com @CBCAlerts I know I can't be insightful yet - that's the bloody point, neither can you, and by trying to, you lose ground.",disagreed
Reports of gunshots unconfirmed RT @Henderburn: Only photo I will tweet. CPR being performed on the soldier #ottawa http://t.co/zO6CGFl7QR,disagreed
"@Henderburn Hi Peter, this is Marta, reporter from Demotix. Did you take the photo? Would be ok for us to use? Can you send it? thanks",disagreed
@Henderburn why are there no police ??,disagreed
@Henderburn I'm a Photo Editor @ ABC- Would you be willing to share this with all ABC News platforms and with partners if we credit?,disagreed
"@Henderburn could you email me please to subeditors@demotix.com and I'll explain better, thx",disagreed
@tdgecas Fuck you idiot,disagreed
@BigDilbertFan photography is his job? My whole issue was a man needed help. There are ways to help if you don't know cpr,disagreed
"@tdgecas @Henderburn Getting the word out about an active shooter situation seems pretty helpful, but please, tell us what you'd have done.",disagreed
@BigDilbertFan we won't agree on this and that's okay. If you're in Ottawa stay safe.,disagreed
@tdgecas @Henderburn well said @tdgecas,agreed
"@Henderburn I have no issue with warning people whatsoever. But to take a photo, please!",disagreed
@DriesBrent the photo does not show the soldier. It shows the response. Brave bystanders trying to save him,disagreed
@Henderburn Will do! Would you Prefer your name or your handle?,disagreed
“@affanchowdhry: Here's that dramatic video via @josh_wingrove of shots fired inside parliament building: https://t.co/RHGVpajcg4,agreed
Gunfire inside Canadian parliament; soldier shot at National War Memorial in Ottawa http://t.co/HlfE0oVrN7 #cdnpoli @CBCPolitics,agreed
RT @CBCPolitics Soldier shot at National War Memorial in #Ottawa http://t.co/I5GY1kEqfq #cdnpoli #hw,agreed
Our thoughts to all those in Ottawa “@CBCPolitics: Soldier shot at National War Memorial in Ottawa http://t.co/WTkR1N0elc #cdnpoli #hw”,agreed
"“@CBCAlerts: Shooter still on loose after uniformed soldier shot at War Memorial, across road from Parliament.  :( sad...",agreed
@CBCAlerts reporting soldier shot in Ottawa. Very sad news.,agreed
@ChristoferU @CBCAlerts @CBCNews You're an idiot.,disagreed
@ChristoferU I definitely hear that and agree 👍,agreed
@cbcsaltzman @CBCNews is he alright?,disagreed
"“@cbcsaltzman: #BREAKING 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton” @tidridge",agreed
"“@Cameron_Gray: #RIPNathanCirillo
: Soldier killed at war memorial identified as Cpl. Nathan Cirillo #OttawaShooting http://t.co/QBkduHjIbe”",agreed
@RideauCentre any reports of shots fired inside the Rideau Centre or just nearby?,disagreed
".@RideauCentre Conflicting reports regarding a possible shooting on/near the Centre, but your GM said no shooting. Can you clarify at all?",disagreed
@PzFeed @AbideSam That's disgusting tbh...,agreed
@PzFeed so who is the brainiac on the right that looks like he's taking a picture?,disagreed
@amyminsky @althiaraj Thank you for up date ---  great job --Thank you ------pnp---canada,agreed
"@amyminsky @cindyreddeer Okay, so what's been happening in Canada?",disagreed
@cindyreddeer True.  But I hear there was a similar incident this past Monday. Is that correct?  That makes me think its low level terrorism,disagreed
“@CBCAlerts: More shots fired just off Parliament Hill. Police telling everyone to take cover.” #Ottawa #Parliament,agreed
RT @CBCAlerts: More shots fired just off Parliament Hill. Police telling everyone to take cover. @Midiinfo,agreed
@HSolway @CBCAlerts we are with you! 🇺🇸🍁,agreed
@905fishingguy sorry! Do they think it's terrorism? Or do they have an idea who ?,disagreed
@905fishingguy @CBCAlerts Yes they do.,agreed
@CTVNews I want answers Why did I get netter News fom CNN And CBS ???,disagreed
"@PC_Consult39 because it is a possible terrorist threat that could expand into the US, and they are our closest (literally) allies.",agreed
@cnnbrk Three,disagreed
"“@cnnbrk: Now two shooting incidents in Ottawa: one at the war memorial, the other on Parliament Hill. http://t.co/JnICuXj3qO” 🙏 #scary",agreed
@cnnbrk Weren't you reporting THREE incidents earlier?,disagreed
@real_dashermace @cnnbrk FUCK U,disagreed
@ViewFromAskew @cnnbrk breaking news is fraught with mistakes.  Calm down.,disagreed
@CBSNews That's not what they just said at the Press Conference!,disagreed
RT @CBSNews: Police believe 3 gunmen were involved in shootings in Ottawa and are looking for two shooters. http://t.co/ezPjE4zAcW,agreed
@CBSNews Your info is out of date. Rideau shooting didn't happen. Police press conference says nothing about number of shooters.,disagreed
@CBSNews And when will you be announcing they are Muslims? http://t.co/lZwUzG0nAI,disagreed
@CBSNews  It appears now it was only 1 shooter and the shots were heard at nearby hotel/shopping cntr causing reports of more shootings,disagreed
@mythos_man @CBCAlerts @CBCNews yes why not?? stop criticizing @JustinTrudeau and you need to realize that #harper put our lives at risk,disagreed
@mythos_man @CBCAlerts @CBCNews @JustinTrudeau I can't believe people focus on stupidity instead of real problems.,disagreed
@mythos_man @CBCAlerts @CBCNews @JustinTrudeau wow you are dumber that I thought. Haven't you asked why Canada want in danger before?,disagreed
"@mythos_man @CBCAlerts @CBCNews @JustinTrudeau you are an imbecile and because of imbeciles like you, our lives are in danger",disagreed
@mythos_man @CBCAlerts @CBCNews @JustinTrudeau you are such an ignorant wow keep running your mouth cause you are an idiot,disagreed
"@DaryusAzad @CBCAlerts @CBCNews @JustinTrudeau Rather then point fingers, why don't you stand united with the rest of Canadians.",disagreed
@Cdn_Bowhunter @CBCAlerts @CBCNews @JustinTrudeau exactly so why did you or your friend already pointed the fingers at Muslims #ignorantmuch,disagreed
"@DaryusAzad @JustinTrudeau I never blamed Muslims for this, I don't think you should be pushing vote liberal bullshit at a time like this.",disagreed
@Cdn_Bowhunter if you remember #americans Said the same about @BarackObama but he turned out to be a good leader despite all his critics,disagreed
"@DaryusAzad I don't think he's a good leader at all, he's to involved in racial movements. Trudeau is better than Obama.",disagreed
@KEEMSTARx dick head it's not confirmed its Jihadist extremists. Don't speculate,disagreed
@Kiippyy @KEEMSTARx is there a live feed somewhere,disagreed
Srry the whole holding the hostages &amp; threatening to kill them made me think it's extreme @ImKamakase my bad. Jk ur dumb!,disagreed
@KristyMayr7 @theleadernews not ISIS flags,disagreed
@KristyMayr7 @worstbloke sorry - how do you know it's an ISIS flag? Can you actually confirm that?,disagreed
@KristyMayr7 @maddychipendale Have you actually confirmed its an ISIS flag or are you talking shit,disagreed
@KristyMayr7 @7NewsAdelaide not ISIS flags. Shahada flags.,disagreed
@KristyMayr7; several of your tweets are either wrong or misleading. Please hold yourself to higher journalism standards!,disagreed
@KristyMayr7  Journalists report facts - reporters bleat out crap they hear. ISIS my arse.,disagreed
@KristyMayr7 Flag in #Sydney hostage situation shows the Islamic profession of faith ('shahada'). Not an IS flag despite the same wording,disagreed
@KristyMayr7 This is not true. As you have made a lot of Tweets you may have forgotten this one. Do the right thing and remove it.,disagreed
"“@cnni: Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. http://t.co/mRghqDBf50 #sydneysiege”",agreed
"MT “@cnni: Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. #sydneysiege”",agreed
@cnni I thought police asked media not to report demands. Why you giving these terrorists a voice?,disagreed
"@staronline A sportswoman INDEED, thank God she survived the shooting :') #run #escape #sydneysiege",agreed
@Andrew_Denney @charlescwcooke @instapundit so we still not sure of the motivation for the attack?,disagreed
"@zulubravo @Andrew_Denney @jessradio Yes ""Islamic"" flag. Black a traditional colour of Islam and I presume a Koranic verse also.",agreed
"@Gion_Gion @Andrew_Denney @jessradio Green is the traditional colour.
Presumptions are worthless",disagreed
"@Gion_Gion @Andrew_Denney @jessradio shahada flag is a generic flag, not unique to any group. ISIS use a different flag",disagreed
"@zulubravo @Andrew_Denney @jessradio Who typed ""ISIS""? Islamic flag was used in the original tweet.",disagreed
@TheAnonMessage this cafe is not near the opera house! It's in Martin place.,disagreed
@Angus_OL I think it's 4 injured. I can't believe this is happening. I've also heard 2 people have died,disagreed
@Angus_OL Angus!! They havent said anything about the gunman??,disagreed
"@Angus_OL The 6 of us are watching this unfold, I'm shaking, My heart goes out to the hostages and their families. http://t.co/uXrJGokIGC",agreed
"@Angus_OL thank god they're all safe now. some wounded, but still safe.",agreed
